feature,weight
[NE-SSC(ch)],0.0027269484725553294
[NE-SFL(ch)],0.009037533828429221
[NE-FSC(ch)],-0.01860715421491319
[LY-Y(ch)],0.005881936049300331
[LY-Z(ch)],-0.0048201252861793465
[MO-X(ch)],0.034861021355977184
[MO-Y(ch)],0.0016128127734141723
[MO-Z(ch)],-0.05140834146622504
[NE-WX],-0.00677487797523995
[NE-WY],0.00030769917771206824
[NE-WZ],0.001534659058098852
[LY-WX],0.00040043086853619453
[LY-WY],-9.943836398890162e-05
[MO-WX],0.0028497150253468137
[MO-WY],-0.00048459514157095867
[MO-WZ],-0.0021022361432489257
IP ABN(WBC)WBC Abn Scattergram,0.14717989895096206
IP ABN(WBC)Neutrophilia,0.3993056304667344
IP ABN(WBC)Lymphopenia,0.1812340799940321
IP ABN(WBC)Leukocytosis,0.07719952119397548
IP SUS(WBC)Left Shift?,0.4419004561947104
RDW-CV(%),0.06876847725313032
PLT(10^9/L),-0.001029492580405611
HGB(g/L),0.00384225479893197
RBC(10^12/L),-0.05337743746192165
WBC(10^9/L),0.011612753796305067
MONO%(%),-0.05413725539922302
BASO%(%),-0.7425099562086865
EO%(%),-0.024460874048509038
LYMPH%(%),-0.00832191112263468
NEUT%(%),0.005567335919195763
BASO#(10^9/L),-1.679016845126679
MONO#(10^9/L),-0.04330373447394751
EO#(10^9/L),0.09584875237749703
LYMPH#(10^9/L),-0.2173909366743647
NEUT#(10^9/L),0.012765712539765084
NLR,0.0007617147622179176
MLR,0.10859112362609981
Intercept,-0.04885880004235932
